ID,stance_predicted_raw
11045,neutral-or-unclear
11047,neutral-or-unclear
11048,neutral-or-unclear
11050,neutral-or-unclear
11051,neutral-or-unclear
11052,neutral-or-unclear
11054,neutral-or-unclear
11055,neutral-or-unclear
11057,neutral-or-unclear
11058,neutral-or-unclear
11059,neutral-or-unclear
11065,neutral-or-unclear
11067,neutral-or-unclear
11068,neutral-or-unclear
11070,neutral-or-unclear
11071,neutral-or-unclear
11072,neutral-or-unclear
11073,neutral-or-unclear
11076,neutral-or-unclear
11077,neutral-or-unclear
11078,neutral-or-unclear
11079,neutral-or-unclear
11080,neutral-or-unclear
11081,neutral-or-unclear
11082,neutral-or-unclear
11083,neutral-or-unclear
11084,neutral-or-unclear
11089,neutral-or-unclear
11091,neutral-or-unclear
11092,neutral-or-unclear
11094,neutral-or-unclear
11095,neutral-or-unclear
11098,neutral-or-unclear
11102,neutral-or-unclear
11104,neutral-or-unclear
11105,neutral-or-unclear
11106,neutral-or-unclear
11110,neutral-or-unclear
11111,neutral-or-unclear
11113,neutral-or-unclear
11116,neutral-or-unclear
11120,neutral-or-unclear
11127,neutral-or-unclear
11128,neutral-or-unclear
11132,neutral-or-unclear
11133,neutral-or-unclear
11134,neutral-or-unclear
11135,neutral-or-unclear
11136,neutral-or-unclear
11138,neutral-or-unclear
11140,neutral-or-unclear
11141,neutral-or-unclear
11143,neutral-or-unclear
11146,neutral-or-unclear
11147,neutral-or-unclear
11149,neutral-or-unclear
11153,neutral-or-unclear
11156,neutral-or-unclear
11157,neutral-or-unclear
11158,neutral-or-unclear
11159,neutral-or-unclear
11160,neutral-or-unclear
11163,neutral-or-unclear
11165,neutral-or-unclear
11166,neutral-or-unclear
11169,neutral-or-unclear
11170,neutral-or-unclear
11171,neutral-or-unclear
11173,neutral-or-unclear
11176,neutral-or-unclear
11177,neutral-or-unclear
11178,neutral-or-unclear
11179,neutral-or-unclear
11181,neutral-or-unclear
11182,neutral-or-unclear
11183,neutral-or-unclear
11185,neutral-or-unclear
11188,neutral-or-unclear
11190,neutral-or-unclear
11192,neutral-or-unclear
11195,neutral-or-unclear
11198,neutral-or-unclear
11199,neutral-or-unclear
11201,neutral-or-unclear
11202,neutral-or-unclear
11203,neutral-or-unclear
11205,neutral-or-unclear
11206,neutral-or-unclear
11208,neutral-or-unclear
11209,neutral-or-unclear
11210,neutral-or-unclear
11215,neutral-or-unclear
11216,neutral-or-unclear
11217,neutral-or-unclear
11218,neutral-or-unclear
11219,neutral-or-unclear
11221,neutral-or-unclear
11223,neutral-or-unclear
11224,neutral-or-unclear
11226,neutral-or-unclear
11227,neutral-or-unclear
11229,neutral-or-unclear
11231,neutral-or-unclear
11232,neutral-or-unclear
11233,neutral-or-unclear
11236,neutral-or-unclear
11237,neutral-or-unclear
11239,neutral-or-unclear
11240,neutral-or-unclear
11241,neutral-or-unclear
11242,neutral-or-unclear
11244,neutral-or-unclear
11245,neutral-or-unclear
11246,neutral-or-unclear
11248,neutral-or-unclear
11249,neutral-or-unclear
